title;year;rating;price
Hearts of Iron IV;6 июн. 2016 г.;Очень положительные;553 руб
Buckshot Roulette;5 апр. 2024 г.;Крайне положительные;89 руб
Euro Truck Simulator 2;13 окт. 2012 г.;Крайне положительные;312 руб
Noita;16 окт. 2020 г.;Крайне положительные;174 руб
The Callisto Protocol™;2 дек. 2022 г.;Смешанные;570 руб
Dead Cells;7 авг. 2018 г.;Крайне положительные;299 руб
Satisfactory;9 июн. 2020 г.;Крайне положительные;550 руб
American Truck Simulator;2 февр. 2016 г.;Крайне положительные;312 руб
Remnant: From the Ashes;20 авг. 2019 г.;Очень положительные;389 руб
ARK: Survival Ascended;26 окт. 2023 г.;Смешанные;3140,80 руб
Palworld;19 янв. 2024 г.;Очень положительные;990 руб
Warhammer 40,000: Darktide;1 дек. 2022 г.;Смешанные;1649 руб
Lies of P;18 сент. 2023 г.;Очень положительные;2799 руб
HITMAN 3;21 янв. 2022 г.;Очень положительные;440 руб
Darkest Dungeon® II;8 мая 2023 г.;В основном положительные;871 руб
Clone Drone in the Danger Zone;27 июл. 2021 г.;Крайне положительные;195 руб
Wreckfest;14 июн. 2018 г.;Очень положительные;479 руб
X4: Foundations;30 нояб. 2018 г.;В основном положительные;640 руб
Beholder 2;5 дек. 2018 г.;Очень положительные;97 руб
The Talos Principle 2;2 нояб. 2023 г.;Крайне положительные;660 руб
Totally Accurate Battle Simulator;2 апр. 2021 г.;Крайне положительные;271 руб
Deep Rock Galactic: Survivor;14 февр. 2024 г.;Очень положительные;308 руб
Reign of Guilds;4 апр. 2024 г.;В основном положительные;1104,15 руб
Skul: The Hero Slayer;21 янв. 2021 г.;Очень положительные;460 руб
A Plague Tale: Requiem;18 окт. 2022 г.;Очень положительные;1119 руб
SCUM;29 авг. 2018 г.;В основном положительные;1167 руб
HighFleet;27 июл. 2021 г.;Очень положительные;334 руб
A Plague Tale: Innocence;14 мая 2019 г.;Очень положительные;439 руб
SILENT BREATH;5 апр. 2024 г.;В основном положительные;346 руб
Amnesia: The Bunker;6 июн. 2023 г.;Очень положительные;484 руб
Beholder 3;3 мар. 2022 г.;Смешанные;227 руб
Sea of Stars;29 авг. 2023 г.;Очень положительные;900 руб
Spirit City: Lofi Sessions;8 апр. 2024 г.;Очень положительные;311 руб
Space Engineers;1 мар. 2019 г.;Очень положительные;417 руб
Evil West;22 нояб. 2022 г.;В основном положительные;979 руб
Dead Cells: Return to Castlevania;7 мар. 2023 г.;Очень положительные;308 руб
